CustomerID,Recency,Frequency,Monetary,Cluster,Segment
CUST3041,143,8,182.2,0,Active/Engaged
CUST3042,264,6,242.7,1,At-Risk
CUST3043,336,11,450.79,1,At-Risk
CUST3044,169,7,278.06,0,Active/Engaged
CUST3045,284,10,116.82,1,At-Risk
CUST3046,249,11,147.8,3,Frequent Buyers
CUST3047,224,9,146.17,1,At-Risk
CUST3048,134,8,277.18,0,Active/Engaged
CUST3049,182,6,124.04,0,Active/Engaged
CUST3050,328,5,274.12,1,At-Risk
CUST3051,179,12,526.81,3,Frequent Buyers
CUST3052,228,8,149.95,1,At-Risk
CUST3053,188,10,138.41,3,Frequent Buyers
CUST3054,2,12,63.32,0,Active/Engaged
CUST3055,132,8,216.65,0,Active/Engaged
CUST3056,216,12,273.39,3,Frequent Buyers
CUST3057,69,10,254.93,0,Active/Engaged
CUST3058,329,12,217.72,3,Frequent Buyers
CUST3059,115,12,222.96,3,Frequent Buyers
CUST3060,161,9,41.67,0,Active/Engaged
CUST3061,335,15,74.95,3,Frequent Buyers
CUST3062,276,8,7.4,1,At-Risk
CUST3063,91,4,117.51,0,Active/Engaged
CUST3064,274,6,156.05,1,At-Risk
CUST3065,44,9,303.78,0,Active/Engaged
CUST3066,19,7,310.11,0,Active/Engaged
CUST3067,49,7,74.03,0,Active/Engaged
CUST3068,139,11,399.49,3,Frequent Buyers
CUST3069,304,20,801.25,3,Frequent Buyers
CUST3070,111,4,426.95,0,Active/Engaged
CUST3071,161,8,741.51,2,High-Value/VIP
CUST3072,41,10,304.81,0,Active/Engaged
CUST3073,265,9,359.06,1,At-Risk
CUST3074,362,10,46.25,1,At-Risk
CUST3075,76,8,374.9,0,Active/Engaged
CUST3076,73,4,161.83,0,Active/Engaged
CUST3077,20,10,198.05,0,Active/Engaged
CUST3078,225,11,251.94,3,Frequent Buyers
CUST3079,85,14,126.87,3,Frequent Buyers
CUST3080,307,5,559.95,1,At-Risk
CUST3081,339,6,359.49,1,At-Risk
CUST3082,329,12,337.76,3,Frequent Buyers
CUST3083,39,9,269.86,0,Active/Engaged
CUST3084,35,8,128.83,0,Active/Engaged
CUST3085,120,15,545.52,3,Frequent Buyers
CUST3086,288,14,92.91,3,Frequent Buyers
CUST3087,245,11,790.58,2,High-Value/VIP
CUST3088,119,11,1202.26,2,High-Value/VIP
CUST3089,357,9,382.91,1,At-Risk
CUST3090,133,9,261.22,0,Active/Engaged
CUST3091,142,7,101.27,0,Active/Engaged
CUST3092,186,12,809.91,2,High-Value/VIP
CUST3093,322,8,410.16,1,At-Risk
CUST3094,253,9,279.47,1,At-Risk
CUST3095,91,13,26.15,3,Frequent Buyers
CUST3096,119,10,445.29,0,Active/Engaged
CUST3097,149,12,237.76,3,Frequent Buyers
CUST3098,363,9,471.58,1,At-Risk
CUST3099,146,14,325.21,3,Frequent Buyers
CUST3100,133,6,181.94,0,Active/Engaged
CUST3101,331,6,602.94,1,At-Risk
CUST3102,150,7,107.92,0,Active/Engaged
CUST3103,7,14,339.61,3,Frequent Buyers
CUST3104,361,14,1156.07,2,High-Value/VIP
CUST3105,242,7,164.39,1,At-Risk
CUST3106,315,8,39.13,1,At-Risk
CUST3107,66,11,409.02,0,Active/Engaged
CUST3108,168,4,38.6,0,Active/Engaged
CUST3109,101,9,269.7,0,Active/Engaged
CUST3110,262,10,120.63,1,At-Risk
CUST3111,294,6,308.97,1,At-Risk
CUST3112,92,8,72.85,0,Active/Engaged
CUST3113,94,10,499.28,2,High-Value/VIP
CUST3114,253,11,220.01,3,Frequent Buyers
CUST3115,179,7,576.51,2,High-Value/VIP
CUST3116,126,10,263.74,0,Active/Engaged
CUST3117,112,11,811.18,2,High-Value/VIP
CUST3118,216,6,225.63,1,At-Risk
CUST3119,11,7,805.69,2,High-Value/VIP
CUST3120,65,13,1048.32,2,High-Value/VIP
CUST3121,209,10,104.51,3,Frequent Buyers
CUST3122,216,8,478.17,1,At-Risk
CUST3123,44,8,264.8,0,Active/Engaged
CUST3124,141,11,449.9,3,Frequent Buyers
CUST3125,35,11,859.22,2,High-Value/VIP
CUST3126,133,9,124.35,0,Active/Engaged
CUST3127,237,10,448.05,1,At-Risk
CUST3128,157,15,469.96,3,Frequent Buyers
CUST3129,344,10,302.51,1,At-Risk
CUST3130,18,7,179.04,0,Active/Engaged
CUST3131,242,12,299.85,3,Frequent Buyers
CUST3132,173,9,136.1,0,Active/Engaged
CUST3133,226,15,363.74,3,Frequent Buyers
CUST3134,36,6,17.09,0,Active/Engaged
CUST3135,335,4,331.75,1,At-Risk
CUST3136,255,7,990.96,2,High-Value/VIP
CUST3137,148,7,654.04,2,High-Value/VIP
CUST3138,177,8,230.02,0,Active/Engaged
CUST3139,108,8,516.22,2,High-Value/VIP
CUST3140,351,10,241.07,1,At-Risk
CUST3141,16,10,131.62,0,Active/Engaged
CUST3142,33,11,439.45,0,Active/Engaged
CUST3143,153,8,601.81,2,High-Value/VIP
CUST3144,44,5,236.13,0,Active/Engaged
CUST3145,276,13,702.27,2,High-Value/VIP
CUST3146,216,6,503.55,1,At-Risk
CUST3147,307,10,383.27,1,At-Risk
CUST3148,74,10,358.07,0,Active/Engaged
CUST3149,264,9,273.07,1,At-Risk
CUST3150,142,10,382.91,0,Active/Engaged
CUST3151,77,5,274.1,0,Active/Engaged
CUST3152,126,9,345.19,0,Active/Engaged
CUST3153,115,5,251.56,0,Active/Engaged
CUST3154,186,11,110.43,3,Frequent Buyers
CUST3155,43,8,115.76,0,Active/Engaged
CUST3156,43,8,602.59,2,High-Value/VIP
CUST3157,18,11,117.87,0,Active/Engaged
CUST3158,338,8,491.01,1,At-Risk
CUST3159,119,10,496.07,2,High-Value/VIP
CUST3160,214,10,459.75,1,At-Risk
CUST3161,300,8,497.51,1,At-Risk
CUST3162,223,13,107.32,3,Frequent Buyers
CUST3163,242,8,223.7,1,At-Risk
CUST3164,210,10,328.4,1,At-Risk
CUST3165,92,6,168.28,0,Active/Engaged
CUST3166,313,11,448.37,1,At-Risk
CUST3167,167,8,138.24,0,Active/Engaged
CUST3168,253,9,424.15,1,At-Risk
CUST3169,247,13,281.41,3,Frequent Buyers
CUST3170,287,5,293.71,1,At-Risk
CUST3171,121,13,682.98,2,High-Value/VIP
CUST3172,115,7,12.13,0,Active/Engaged
CUST3173,303,7,431.98,1,At-Risk
CUST3174,48,9,301.49,0,Active/Engaged
CUST3175,346,3,704.8,1,At-Risk
CUST3176,60,8,248.26,0,Active/Engaged
CUST3177,228,9,317.55,1,At-Risk
CUST3178,85,8,529.53,2,High-Value/VIP
CUST3179,314,9,304.41,1,At-Risk
CUST3180,284,14,1126.99,2,High-Value/VIP
CUST3181,261,13,337.74,3,Frequent Buyers
CUST3182,6,9,146.38,0,Active/Engaged
CUST3183,194,10,127.36,3,Frequent Buyers
CUST3184,109,11,144.51,3,Frequent Buyers
CUST3185,250,9,390.38,1,At-Risk
CUST3186,249,10,206.61,1,At-Risk
CUST3187,246,10,117.18,1,At-Risk
CUST3188,227,8,112.4,1,At-Risk
CUST3189,1,4,423.07,0,Active/Engaged
CUST3190,264,12,492.21,3,Frequent Buyers
CUST3191,194,8,60.05,0,Active/Engaged
CUST3192,337,8,810.54,2,High-Value/VIP
CUST3193,177,14,402.66,3,Frequent Buyers
CUST3194,128,9,447.14,0,Active/Engaged
CUST3195,207,13,408.24,3,Frequent Buyers
CUST3196,178,10,88.7,3,Frequent Buyers
CUST3197,195,10,279.4,3,Frequent Buyers
CUST3198,67,10,364.19,0,Active/Engaged
CUST3199,320,10,611.4,2,High-Value/VIP
CUST3200,123,9,379.39,0,Active/Engaged
CUST3201,247,7,257.87,1,At-Risk
CUST3202,36,9,159.57,0,Active/Engaged
CUST3203,290,7,301.43,1,At-Risk
CUST3204,139,9,162.39,0,Active/Engaged
CUST3205,44,8,390.29,0,Active/Engaged
CUST3206,49,7,479.56,0,Active/Engaged
CUST3207,257,10,87.56,1,At-Risk
CUST3208,290,9,614.48,2,High-Value/VIP
CUST3209,121,9,322.9,0,Active/Engaged
CUST3210,25,14,18.13,3,Frequent Buyers
CUST3211,158,6,145.56,0,Active/Engaged
CUST3212,332,12,125.0,3,Frequent Buyers
CUST3213,46,7,214.3,0,Active/Engaged
CUST3214,79,3,64.03,0,Active/Engaged
CUST3215,194,8,191.55,1,At-Risk
CUST3216,266,8,91.3,1,At-Risk
CUST3217,232,8,494.96,1,At-Risk
CUST3218,262,6,240.09,1,At-Risk
CUST3219,177,9,57.4,0,Active/Engaged
CUST3220,234,8,14.55,1,At-Risk
CUST3221,64,5,301.54,0,Active/Engaged
CUST3222,59,9,306.19,0,Active/Engaged
CUST3223,164,7,318.22,0,Active/Engaged
CUST3224,14,7,208.96,0,Active/Engaged
CUST3225,79,8,42.36,0,Active/Engaged
CUST3226,98,9,328.79,0,Active/Engaged
CUST3227,37,6,30.95,0,Active/Engaged
CUST3228,52,9,98.76,0,Active/Engaged
CUST3229,280,6,740.79,2,High-Value/VIP
CUST3230,44,9,298.67,0,Active/Engaged
CUST3231,249,10,266.35,1,At-Risk
CUST3232,351,5,256.63,1,At-Risk
CUST3233,155,8,67.49,0,Active/Engaged
CUST3234,31,5,875.26,2,High-Value/VIP
CUST3235,236,11,646.57,2,High-Value/VIP
CUST3236,236,7,521.56,1,At-Risk
CUST3237,4,6,729.75,2,High-Value/VIP
CUST3238,47,13,236.06,3,Frequent Buyers
CUST3239,209,13,263.8,3,Frequent Buyers
CUST3240,228,5,327.15,1,At-Risk
CUST3241,234,14,238.5,3,Frequent Buyers
CUST3242,258,9,358.77,1,At-Risk
CUST3243,343,5,88.72,1,At-Risk
CUST3244,117,6,169.72,0,Active/Engaged
CUST3245,324,11,845.85,2,High-Value/VIP
CUST3246,155,9,490.58,2,High-Value/VIP
CUST3247,262,6,172.93,1,At-Risk
CUST3248,336,11,471.71,1,At-Risk
CUST3249,162,7,67.25,0,Active/Engaged
CUST3250,239,3,242.49,1,At-Risk
CUST3251,128,8,134.8,0,Active/Engaged
CUST3252,30,13,477.67,3,Frequent Buyers
CUST3253,227,7,532.6,1,At-Risk
CUST3254,133,9,665.66,2,High-Value/VIP
CUST3255,152,11,242.79,3,Frequent Buyers
CUST3256,352,7,277.95,1,At-Risk
CUST3257,206,4,728.85,2,High-Value/VIP
CUST3258,117,11,745.56,2,High-Value/VIP
CUST3259,16,6,276.55,0,Active/Engaged
CUST3260,226,7,65.1,1,At-Risk
CUST3261,187,10,133.71,3,Frequent Buyers
CUST3262,70,8,53.78,0,Active/Engaged
CUST3263,356,7,1336.66,2,High-Value/VIP
CUST3264,236,6,218.96,1,At-Risk
CUST3265,169,7,270.3,0,Active/Engaged
CUST3266,235,12,578.42,2,High-Value/VIP
CUST3267,319,10,134.57,1,At-Risk
CUST3268,23,10,455.25,0,Active/Engaged
CUST3269,165,7,125.81,0,Active/Engaged
CUST3270,342,5,402.87,1,At-Risk
CUST3271,188,7,812.8,2,High-Value/VIP
CUST3272,51,7,270.15,0,Active/Engaged
CUST3273,108,8,294.97,0,Active/Engaged
CUST3274,225,9,126.71,1,At-Risk
CUST3275,90,6,52.02,0,Active/Engaged
CUST3276,158,8,177.59,0,Active/Engaged
CUST3277,282,13,281.22,3,Frequent Buyers
CUST3278,198,6,225.74,1,At-Risk
CUST3279,52,4,239.39,0,Active/Engaged
CUST3280,183,10,641.9,2,High-Value/VIP
CUST3281,364,17,218.62,3,Frequent Buyers
CUST3282,274,5,161.17,1,At-Risk
CUST3283,238,8,159.77,1,At-Risk
CUST3284,229,9,571.83,2,High-Value/VIP
CUST3285,259,10,236.66,1,At-Risk
CUST3286,9,12,49.18,0,Active/Engaged
CUST3287,177,11,408.89,3,Frequent Buyers
CUST3288,334,8,291.19,1,At-Risk
CUST3289,342,6,101.52,1,At-Risk
CUST3290,183,11,541.21,2,High-Value/VIP
CUST3291,242,15,91.27,3,Frequent Buyers
CUST3292,104,13,163.28,3,Frequent Buyers
CUST3293,266,9,323.18,1,At-Risk
CUST3294,213,9,321.96,1,At-Risk
CUST3295,293,9,479.47,1,At-Risk
CUST3296,60,15,355.36,3,Frequent Buyers
CUST3297,362,7,520.9,1,At-Risk
CUST3298,323,9,467.8,1,At-Risk
CUST3299,212,10,325.99,1,At-Risk
CUST3300,233,12,110.73,3,Frequent Buyers
CUST3301,127,8,324.3,0,Active/Engaged
CUST3302,158,16,33.7,3,Frequent Buyers
CUST3303,76,9,99.56,0,Active/Engaged
CUST3304,245,7,176.07,1,At-Risk
CUST3305,187,11,292.84,3,Frequent Buyers
CUST3306,160,7,117.87,0,Active/Engaged
CUST3307,59,5,73.31,0,Active/Engaged
CUST3308,355,12,314.23,1,At-Risk
CUST3309,360,5,68.57,1,At-Risk
CUST3310,309,11,94.8,1,At-Risk
CUST3311,83,8,206.12,0,Active/Engaged
CUST3312,332,7,499.18,1,At-Risk
CUST3313,322,11,365.47,1,At-Risk
CUST3314,259,9,111.21,1,At-Risk
CUST3315,291,9,171.68,1,At-Risk
CUST3316,246,12,542.95,3,Frequent Buyers
CUST3317,363,9,63.03,1,At-Risk
CUST3318,66,6,357.37,0,Active/Engaged
CUST3319,29,5,158.77,0,Active/Engaged
CUST3320,53,3,71.01,0,Active/Engaged
CUST3321,229,7,309.05,1,At-Risk
CUST3322,339,9,171.06,1,At-Risk
CUST3323,191,6,90.97,0,Active/Engaged
CUST3324,78,5,216.88,0,Active/Engaged
CUST3325,103,4,178.1,0,Active/Engaged
CUST3326,113,12,289.43,3,Frequent Buyers
CUST3327,190,9,418.13,1,At-Risk
CUST3328,193,5,62.58,0,Active/Engaged
CUST3329,182,7,517.52,2,High-Value/VIP
CUST3330,171,8,216.05,0,Active/Engaged
CUST3331,63,8,70.04,0,Active/Engaged
CUST3332,13,10,257.65,0,Active/Engaged
CUST3333,360,10,124.88,1,At-Risk
CUST3334,291,10,153.2,1,At-Risk
CUST3335,268,9,150.92,1,At-Risk
CUST3336,212,7,409.28,1,At-Risk
CUST3337,337,7,197.6,1,At-Risk
CUST3338,306,8,684.53,2,High-Value/VIP
CUST3339,173,15,291.96,3,Frequent Buyers
CUST3340,155,8,266.12,0,Active/Engaged
CUST3341,146,7,93.92,0,Active/Engaged
CUST3342,33,11,341.97,0,Active/Engaged
CUST3343,112,3,249.64,0,Active/Engaged
CUST3344,337,6,113.84,1,At-Risk
CUST3345,148,14,338.7,3,Frequent Buyers
CUST3346,285,11,411.51,1,At-Risk
CUST3347,217,9,372.64,1,At-Risk
CUST3348,226,8,853.85,2,High-Value/VIP
CUST3349,197,8,202.26,1,At-Risk
CUST3350,135,12,271.52,3,Frequent Buyers
CUST3351,247,12,183.72,3,Frequent Buyers
CUST3352,86,7,527.02,0,Active/Engaged
CUST3353,42,8,759.32,2,High-Value/VIP
CUST3354,69,10,158.3,0,Active/Engaged
CUST3355,56,4,347.23,0,Active/Engaged
CUST3356,234,8,55.51,1,At-Risk
CUST3357,311,4,446.82,1,At-Risk
CUST3358,102,13,129.2,3,Frequent Buyers
CUST3359,59,12,79.93,3,Frequent Buyers
CUST3360,217,11,96.82,3,Frequent Buyers
CUST3361,214,11,296.74,3,Frequent Buyers
CUST3362,239,4,150.17,1,At-Risk
CUST3363,242,6,199.88,1,At-Risk
CUST3364,210,14,483.33,3,Frequent Buyers
CUST3365,239,9,428.12,1,At-Risk
CUST3366,18,6,277.96,0,Active/Engaged
CUST3367,157,8,170.62,0,Active/Engaged
CUST3368,232,8,156.98,1,At-Risk
CUST3369,13,7,408.16,0,Active/Engaged
CUST3370,236,16,108.52,3,Frequent Buyers
CUST3371,328,5,326.82,1,At-Risk
CUST3372,9,9,52.07,0,Active/Engaged
CUST3373,60,13,235.22,3,Frequent Buyers
CUST3374,134,9,553.94,2,High-Value/VIP
CUST3375,252,11,157.01,3,Frequent Buyers
CUST3376,268,8,134.99,1,At-Risk
CUST3377,107,10,829.6,2,High-Value/VIP
CUST3378,282,7,260.18,1,At-Risk
CUST3379,176,6,284.82,0,Active/Engaged
CUST3380,210,4,336.77,1,At-Risk
CUST3381,334,14,955.51,2,High-Value/VIP
CUST3382,363,9,60.65,1,At-Risk
CUST3383,32,9,408.03,0,Active/Engaged
CUST3384,95,9,584.87,2,High-Value/VIP
CUST3385,187,4,390.3,1,At-Risk
CUST3386,349,8,19.22,1,At-Risk
CUST3387,73,7,66.02,0,Active/Engaged
CUST3388,99,12,245.13,3,Frequent Buyers
CUST3389,113,7,102.8,0,Active/Engaged
CUST3390,14,5,475.88,0,Active/Engaged
CUST3391,320,11,258.7,1,At-Risk
CUST3392,232,9,376.7,1,At-Risk
CUST3393,15,11,239.27,0,Active/Engaged
CUST3394,278,7,886.32,2,High-Value/VIP
CUST3395,9,8,107.62,0,Active/Engaged
CUST3396,245,10,185.39,1,At-Risk
CUST3397,35,7,721.49,2,High-Value/VIP
CUST3398,288,10,436.37,1,At-Risk
CUST3399,6,9,257.88,0,Active/Engaged
CUST3400,229,11,182.16,3,Frequent Buyers
CUST3401,109,10,13.67,0,Active/Engaged
CUST3402,6,6,319.55,0,Active/Engaged
CUST3403,120,12,696.73,2,High-Value/VIP
CUST3404,343,12,523.49,1,At-Risk
CUST3405,142,14,235.95,3,Frequent Buyers
CUST3406,38,8,419.34,0,Active/Engaged
CUST3407,201,14,146.86,3,Frequent Buyers
CUST3408,126,7,118.42,0,Active/Engaged
CUST3409,106,8,127.04,0,Active/Engaged
CUST3410,223,7,142.23,1,At-Risk
CUST3411,117,9,211.53,0,Active/Engaged
CUST3412,59,8,306.89,0,Active/Engaged
CUST3413,183,6,241.53,0,Active/Engaged
CUST3414,176,9,44.62,0,Active/Engaged
CUST3415,249,5,207.73,1,At-Risk
CUST3416,31,9,270.59,0,Active/Engaged
CUST3417,207,16,315.46,3,Frequent Buyers
CUST3418,358,11,601.25,1,At-Risk
CUST3419,230,12,158.99,3,Frequent Buyers
CUST3420,238,12,43.84,3,Frequent Buyers
CUST3421,267,9,357.71,1,At-Risk
CUST3422,277,6,359.77,1,At-Risk
CUST3423,359,10,255.41,1,At-Risk
CUST3424,14,14,209.16,3,Frequent Buyers
CUST3425,4,9,752.17,2,High-Value/VIP
CUST3426,267,12,130.06,3,Frequent Buyers
CUST3427,155,7,355.5,0,Active/Engaged
CUST3428,200,11,39.91,3,Frequent Buyers
CUST3429,348,10,277.91,1,At-Risk
CUST3430,20,6,381.91,0,Active/Engaged
CUST3431,133,10,276.82,0,Active/Engaged
CUST3432,305,10,140.95,1,At-Risk
CUST3433,195,8,171.17,1,At-Risk
CUST3434,113,5,398.84,0,Active/Engaged
CUST3435,157,6,483.77,0,Active/Engaged
CUST3436,69,16,71.22,3,Frequent Buyers
CUST3437,205,9,521.53,2,High-Value/VIP
CUST3438,357,9,279.01,1,At-Risk
CUST3439,68,5,323.94,0,Active/Engaged
CUST3440,355,6,652.42,1,At-Risk
CUST3441,115,11,692.81,2,High-Value/VIP
CUST3442,101,6,557.35,2,High-Value/VIP
CUST3443,295,16,207.62,3,Frequent Buyers
CUST3444,174,5,211.27,0,Active/Engaged
CUST3445,226,11,285.76,3,Frequent Buyers
CUST3446,196,11,128.15,3,Frequent Buyers
CUST3447,8,7,229.07,0,Active/Engaged
CUST3448,114,12,387.16,3,Frequent Buyers
CUST3449,17,7,119.82,0,Active/Engaged
CUST3450,321,12,523.16,3,Frequent Buyers
CUST3451,137,12,90.57,3,Frequent Buyers
CUST3452,331,9,429.94,1,At-Risk
CUST3453,131,14,704.84,2,High-Value/VIP
CUST3454,162,8,427.15,0,Active/Engaged
CUST3455,167,6,352.52,0,Active/Engaged
CUST3456,72,10,339.35,0,Active/Engaged
CUST3457,157,6,429.45,0,Active/Engaged
CUST3458,316,9,221.93,1,At-Risk
CUST3459,143,21,121.46,3,Frequent Buyers
CUST3460,214,13,166.25,3,Frequent Buyers
CUST3461,344,8,267.68,1,At-Risk
CUST3462,292,9,458.37,1,At-Risk
CUST3463,270,8,244.18,1,At-Risk
CUST3464,100,10,773.63,2,High-Value/VIP
CUST3465,104,13,388.19,3,Frequent Buyers
CUST3466,319,7,361.74,1,At-Risk
CUST3467,340,6,989.46,2,High-Value/VIP
CUST3468,344,6,341.16,1,At-Risk
CUST3469,230,9,265.9,1,At-Risk
CUST3470,117,13,86.0,3,Frequent Buyers
CUST3471,30,8,509.75,0,Active/Engaged
CUST3472,286,11,133.12,3,Frequent Buyers
CUST3473,359,10,363.19,1,At-Risk
CUST3474,164,10,144.6,3,Frequent Buyers
CUST3475,133,4,300.52,0,Active/Engaged
CUST3476,271,13,250.94,3,Frequent Buyers
CUST3477,263,11,102.46,3,Frequent Buyers
CUST3478,133,10,299.05,0,Active/Engaged
CUST3479,229,11,360.17,3,Frequent Buyers
CUST3480,10,11,73.31,0,Active/Engaged
CUST3481,204,5,653.37,2,High-Value/VIP
CUST3482,359,8,227.17,1,At-Risk
CUST3483,339,7,102.31,1,At-Risk
CUST3484,281,8,170.77,1,At-Risk
CUST3485,60,9,234.44,0,Active/Engaged
CUST3486,348,6,338.87,1,At-Risk
CUST3487,1,13,238.81,3,Frequent Buyers
CUST3488,86,14,451.61,3,Frequent Buyers
CUST3489,195,11,333.45,3,Frequent Buyers
CUST3490,347,13,273.16,3,Frequent Buyers
CUST3491,163,10,339.2,3,Frequent Buyers
CUST3492,140,7,380.04,0,Active/Engaged
CUST3493,113,14,398.24,3,Frequent Buyers
CUST3494,152,8,302.72,0,Active/Engaged
CUST3495,302,9,1159.11,2,High-Value/VIP
CUST3496,175,9,955.39,2,High-Value/VIP
CUST3497,45,7,546.08,0,Active/Engaged
CUST3498,48,10,150.78,0,Active/Engaged
CUST3499,297,13,265.06,3,Frequent Buyers
CUST3500,220,15,465.97,3,Frequent Buyers
CUST3501,87,9,586.53,2,High-Value/VIP
CUST3502,53,10,178.83,0,Active/Engaged
CUST3503,168,6,685.69,2,High-Value/VIP
CUST3504,49,7,517.36,0,Active/Engaged
CUST3505,147,11,530.33,2,High-Value/VIP
CUST3506,205,12,89.16,3,Frequent Buyers
CUST3507,231,3,530.78,1,At-Risk
CUST3508,284,11,312.42,1,At-Risk
CUST3509,9,12,50.85,0,Active/Engaged
CUST3510,54,13,194.37,3,Frequent Buyers
CUST3511,107,9,124.21,0,Active/Engaged
CUST3512,354,9,173.91,1,At-Risk
CUST3513,255,20,149.57,3,Frequent Buyers
CUST3514,280,13,268.25,3,Frequent Buyers
CUST3515,148,9,42.17,0,Active/Engaged
CUST3516,252,4,279.13,1,At-Risk
CUST3517,226,8,687.19,2,High-Value/VIP
CUST3518,54,10,674.28,2,High-Value/VIP
CUST3519,207,7,186.41,1,At-Risk
CUST3520,330,9,361.24,1,At-Risk
CUST3521,323,8,78.2,1,At-Risk
CUST3522,176,7,332.62,0,Active/Engaged
CUST3523,59,10,423.49,0,Active/Engaged
CUST3524,14,15,333.21,3,Frequent Buyers
CUST3525,327,10,204.74,1,At-Risk
CUST3526,137,9,48.78,0,Active/Engaged
CUST3527,20,10,1286.57,2,High-Value/VIP
CUST3528,55,11,341.31,0,Active/Engaged
CUST3529,200,11,176.41,3,Frequent Buyers
CUST3530,55,6,760.31,2,High-Value/VIP
CUST3531,131,8,177.94,0,Active/Engaged
CUST3532,123,11,232.64,3,Frequent Buyers
CUST3533,212,11,130.64,3,Frequent Buyers
CUST3534,219,13,574.17,3,Frequent Buyers
CUST3535,314,12,70.89,3,Frequent Buyers
CUST3536,43,8,259.46,0,Active/Engaged
CUST3537,199,12,169.87,3,Frequent Buyers
CUST3538,322,8,150.55,1,At-Risk
CUST3539,311,10,136.32,1,At-Risk
CUST3540,171,9,79.88,0,Active/Engaged
CUST3541,116,16,450.12,3,Frequent Buyers
CUST3542,268,6,251.92,1,At-Risk
CUST3543,253,7,352.09,1,At-Risk
CUST3544,44,10,327.64,0,Active/Engaged
CUST3545,166,9,130.19,0,Active/Engaged
CUST3546,11,10,90.67,0,Active/Engaged
CUST3547,286,9,345.45,1,At-Risk
CUST3548,291,11,481.55,1,At-Risk
CUST3549,56,8,159.26,0,Active/Engaged
CUST3550,249,12,135.76,3,Frequent Buyers
CUST3551,185,7,358.35,1,At-Risk
CUST3552,78,7,277.39,0,Active/Engaged
CUST3553,328,16,288.72,3,Frequent Buyers
CUST3554,288,9,799.54,2,High-Value/VIP
CUST3555,348,7,420.73,1,At-Risk
CUST3556,212,7,126.63,1,At-Risk
CUST3557,112,11,58.83,3,Frequent Buyers
CUST3558,125,17,70.1,3,Frequent Buyers
CUST3559,84,9,197.35,0,Active/Engaged
CUST3560,197,8,196.91,1,At-Risk
CUST3561,182,7,59.61,0,Active/Engaged
CUST3562,338,6,122.64,1,At-Risk
CUST3563,286,7,61.25,1,At-Risk
CUST3564,62,10,835.24,2,High-Value/VIP
CUST3565,320,9,197.79,1,At-Risk
CUST3566,15,8,308.75,0,Active/Engaged
CUST3567,361,14,413.17,3,Frequent Buyers
CUST3568,336,7,646.92,1,At-Risk
CUST3569,38,2,289.43,0,Active/Engaged
CUST3570,77,8,284.58,0,Active/Engaged
CUST3571,309,8,293.21,1,At-Risk
CUST3572,132,7,99.5,0,Active/Engaged
CUST3573,206,14,289.88,3,Frequent Buyers
CUST3574,69,11,73.78,0,Active/Engaged
CUST3575,235,10,245.2,1,At-Risk
CUST3576,289,5,258.03,1,At-Risk
CUST3577,41,5,345.76,0,Active/Engaged
CUST3578,346,16,68.03,3,Frequent Buyers
CUST3579,76,12,249.7,3,Frequent Buyers
CUST3580,224,12,39.43,3,Frequent Buyers
CUST3581,140,14,174.56,3,Frequent Buyers
CUST3582,140,3,14.3,0,Active/Engaged
CUST3583,261,8,149.42,1,At-Risk
CUST3584,173,9,380.74,0,Active/Engaged
CUST3585,102,9,794.12,2,High-Value/VIP
CUST3586,221,8,422.55,1,At-Risk
